card_id,target
C_ID_0ab67a22ab,-0.5462097
C_ID_130fd0cbdd,-0.796147
C_ID_b709037bc5,-0.8360745
C_ID_d27d835a9f,-0.17448145
C_ID_2b5e3df5c2,-1.2759954
C_ID_5814b4f13c,-0.13116807
C_ID_a1b3c75277,-0.27102393
C_ID_f7cada36d3,-0.097531736
C_ID_9d2bc8dfc4,-0.9704217
C_ID_6d8dba8475,-0.7326555
C_ID_4859ac9ed5,-0.7732359
C_ID_0e281e8ad6,-0.0840531
C_ID_8375dfdaa2,-0.4682988
C_ID_79d149c008,-0.36591125
C_ID_7f1041e8e1,0.078636795
C_ID_f72513589e,0.31563404
C_ID_a7f2d6984e,0.2113209
C_ID_15489b42d3,-0.20801532
C_ID_e457bbd71d,-0.045253754
C_ID_3f74e10c7e,-0.59342873
C_ID_48243da9c4,-0.5840372
C_ID_7ea1fcf117,-1.159665
C_ID_22e4a47c72,-0.25411326
C_ID_5d30729184,0.18226793
C_ID_b54cfad8b2,-0.4012738
C_ID_4b82e26faa,-0.55317974
C_ID_60a453531a,-1.3122343
C_ID_0c9315feec,-0.48916143
C_ID_1e28804d36,-0.3288297
C_ID_68de79f7e2,-0.6963929
C_ID_78dedf0d70,-0.5434282
C_ID_83e740197f,0.82192665
C_ID_e6340286bd,-0.8512963
C_ID_5005a6ad0e,-0.13097125
C_ID_b00860b6a5,-0.34866285
C_ID_c595ba6d92,-0.011333048
C_ID_09ad76147d,-0.110945225
C_ID_041f478878,-0.45562953
C_ID_8eaa79db4f,-0.7487211
C_ID_74ff4fdd9d,0.41566795
C_ID_2558bddd83,-0.7788662
C_ID_5077e2007a,-0.67239594
C_ID_66715f7d2b,-0.034338176
C_ID_f27972fa70,-0.5283736
C_ID_8f62bd5ac0,-0.5669906
C_ID_40a2412bae,-0.4658513
C_ID_57940f34ad,-0.5714061
C_ID_8f9dc072c4,0.46087477
C_ID_11ca664f8c,-0.5857855
C_ID_50ad1cb064,-0.37881213
C_ID_e9771fd0b3,0.68925774
C_ID_df2ae73120,-0.04637313
C_ID_fddf997091,-0.5418749
C_ID_8202301cc0,-0.016676426
C_ID_4828164a6e,0.047839433
C_ID_4154bc963b,-0.28434575
C_ID_0f68113888,-0.6674136
C_ID_f9c5ec1112,-0.3890558
C_ID_59406e1778,-0.20324004
C_ID_9119618513,-0.6830294
C_ID_c37f1dacc3,-0.3411768
C_ID_06a7a6f70d,-0.5019485
C_ID_4ef8177b42,0.24757522
C_ID_f7453d5126,0.37535
C_ID_038b1f5193,-0.9237163
C_ID_7b3f35325f,-0.3344438
C_ID_e3315cf124,-0.35480487
C_ID_5a3419552f,-1.4957114
C_ID_17cb2f55f2,0.13168398
C_ID_bfbffbec95,0.14115405
C_ID_812e419644,-0.6006224
C_ID_ac88d17815,-0.3160699
C_ID_562a791678,0.07082656
C_ID_a2e5f3b899,-0.20062107
C_ID_5a66e302ea,0.5703355
C_ID_215dd2acfd,0.31142616
C_ID_ef5198fe59,-0.35247272
C_ID_751e3800a5,0.23939458
C_ID_fa6b4db855,-0.47365814
C_ID_771d1cb4c1,0.17113024
C_ID_338bed6617,-0.22944939
C_ID_d580357116,0.3336802
C_ID_ba0303353c,-0.17380059
C_ID_348cbde97c,-0.36742973
C_ID_1120541741,-0.26226735
C_ID_b320fc81e5,-0.39354014
C_ID_89c020292e,0.5109144
C_ID_e1dbc78eda,-0.6455381
C_ID_a266b0afb1,-0.33166122
C_ID_690962095c,0.041237712
C_ID_b75c4e1c94,-1.0950918
C_ID_df503a36ae,-0.15248549
C_ID_00b966c727,-0.7407129
C_ID_af9e0d2367,0.12887385
C_ID_a9935875b9,-0.07149613
C_ID_5078eaf301,-0.59572685
C_ID_69800fbc34,-0.28527325
C_ID_2b8decb6a3,0.07792419
C_ID_2326cc45b0,-1.0305259
C_ID_a693c8ab8c,-0.3600781
C_ID_931670b20c,0.04297
C_ID_f9acbb44b5,-0.73627806
C_ID_403d457c52,-0.48652327
C_ID_d5467ab0b6,-0.7341033
C_ID_ca39dff1d6,-0.35228086
C_ID_2a122c5394,-0.66802335
C_ID_38a83f816f,-1.0554267
C_ID_aed043274d,-2.3313334
C_ID_97c1de0a4c,-0.64304495
C_ID_6302a73978,-0.98375106
C_ID_13aa77acc7,-1.1593258
C_ID_8ea1ccd74c,0.20484728
C_ID_f8dd617397,-0.82892466
C_ID_18abe17a50,-0.32335138
C_ID_ca9bf15ecf,-0.81115365
C_ID_ffbb1f9527,-0.12758112
C_ID_9e30b550ed,-1.1991553
C_ID_ca321cca06,-1.0093197
